temp,i,j,"a[i,j]"
2.92,20,48,1
2.92,20,49,-1
2.92,21,0,1
2.92,21,1,-1
2.92,21,2,-1
2.92,21,3,1
2.92,21,4,1
2.92,21,5,1
2.92,21,6,1
2.92,21,7,1
2.92,21,8,-1
2.92,21,9,-1
2.92,21,10,-1
2.92,21,11,1
2.92,21,12,-1
2.92,21,13,-1
2.92,21,14,1
2.92,21,15,-1
2.92,21,16,-1
2.92,21,17,1
2.92,21,18,-1
2.92,21,19,1
2.92,21,20,-1
2.92,21,21,-1
2.92,21,22,-1
2.92,21,23,1
2.92,21,24,1
2.92,21,25,-1
2.92,21,26,-1
2.92,21,27,-1
2.92,21,28,-1
2.92,21,29,-1
2.92,21,30,-1
2.92,21,31,1
2.92,21,32,1
2.92,21,33,1
2.92,21,34,1
2.92,21,35,-1
2.92,21,36,-1
2.92,21,37,-1
2.92,21,38,-1
2.92,21,39,1
2.92,21,40,-1
2.92,21,41,-1
2.92,21,42,-1
2.92,21,43,-1
2.92,21,44,1
2.92,21,45,1
2.92,21,46,1
2.92,21,47,1
2.92,21,48,-1
2.92,21,49,1
2.92,22,0,1
2.92,22,1,-1
2.92,22,2,1
2.92,22,3,1
2.92,22,4,1
2.92,22,5,-1
2.92,22,6,1
2.92,22,7,-1
2.92,22,8,-1
2.92,22,9,1
2.92,22,10,1
2.92,22,11,1
2.92,22,12,-1
2.92,22,13,-1
2.92,22,14,1
2.92,22,15,-1
2.92,22,16,1
2.92,22,17,-1
2.92,22,18,-1
2.92,22,19,-1
2.92,22,20,-1
2.92,22,21,-1
2.92,22,22,1
2.92,22,23,1
2.92,22,24,1
2.92,22,25,1
2.92,22,26,1
2.92,22,27,1
2.92,22,28,-1
2.92,22,29,-1
2.92,22,30,-1
2.92,22,31,-1
2.92,22,32,1
2.92,22,33,1
2.92,22,34,-1
2.92,22,35,1
2.92,22,36,1
2.92,22,37,-1
2.92,22,38,1
2.92,22,39,1
2.92,22,40,1
2.92,22,41,-1
2.92,22,42,-1
2.92,22,43,-1
2.92,22,44,-1
2.92,22,45,1
2.92,22,46,-1
2.92,22,47,-1
2.92,22,48,1
2.92,22,49,-1
2.92,23,0,-1
2.92,23,1,-1
2.92,23,2,1
2.92,23,3,1
2.92,23,4,1
2.92,23,5,-1
2.92,23,6,1
2.92,23,7,1
2.92,23,8,-1
2.92,23,9,1
2.92,23,10,-1
2.92,23,11,1
2.92,23,12,-1
2.92,23,13,-1
2.92,23,14,-1
2.92,23,15,-1
2.92,23,16,-1
2.92,23,17,-1
2.92,23,18,1
2.92,23,19,-1
2.92,23,20,-1
2.92,23,21,-1
2.92,23,22,1
2.92,23,23,1
2.92,23,24,-1
2.92,23,25,1
2.92,23,26,1
2.92,23,27,1
2.92,23,28,-1
2.92,23,29,-1
2.92,23,30,1
2.92,23,31,1
2.92,23,32,-1
2.92,23,33,1
2.92,23,34,-1
2.92,23,35,1
2.92,23,36,-1
2.92,23,37,-1
2.92,23,38,1
2.92,23,39,1
2.92,23,40,-1
2.92,23,41,1
2.92,23,42,-1
2.92,23,43,-1
2.92,23,44,1
2.92,23,45,-1
2.92,23,46,-1
2.92,23,47,-1
2.92,23,48,-1
2.92,23,49,1
2.92,24,0,-1
2.92,24,1,-1
2.92,24,2,1
2.92,24,3,-1
2.92,24,4,-1
2.92,24,5,1
2.92,24,6,1
2.92,24,7,-1
2.92,24,8,-1
2.92,24,9,1
2.92,24,10,-1
2.92,24,11,-1
2.92,24,12,-1
2.92,24,13,1
2.92,24,14,1
2.92,24,15,-1
2.92,24,16,-1
2.92,24,17,1
2.92,24,18,1
2.92,24,19,-1
2.92,24,20,-1
2.92,24,21,-1
2.92,24,22,1
2.92,24,23,-1
2.92,24,24,-1
2.92,24,25,-1
2.92,24,26,1
2.92,24,27,1
2.92,24,28,1
2.92,24,29,-1
2.92,24,30,1
2.92,24,31,-1
2.92,24,32,1
2.92,24,33,1
2.92,24,34,1
2.92,24,35,1
2.92,24,36,1
2.92,24,37,1
2.92,24,38,1
2.92,24,39,-1
2.92,24,40,1
2.92,24,41,-1
2.92,24,42,1
2.92,24,43,-1
2.92,24,44,-1
2.92,24,45,-1
2.92,24,46,1
2.92,24,47,1
2.92,24,48,1
2.92,24,49,-1
2.92,25,0,-1
2.92,25,1,-1
2.92,25,2,1
2.92,25,3,1
2.92,25,4,-1
2.92,25,5,-1
2.92,25,6,1
2.92,25,7,1
2.92,25,8,1
2.92,25,9,-1
2.92,25,10,-1
2.92,25,11,1
2.92,25,12,-1
2.92,25,13,-1
2.92,25,14,-1
2.92,25,15,-1
2.92,25,16,-1
2.92,25,17,1
2.92,25,18,-1
2.92,25,19,-1
